Category: All categories

Week,flu symptoms: (United States)
2020-05-10,9
2020-05-17,9
2020-05-24,8
2020-05-31,7
2020-06-07,7
2020-06-14,8
2020-06-21,9
2020-06-28,11
2020-07-05,9
2020-07-12,9
2020-07-19,8
2020-07-26,7
2020-08-02,7
2020-08-09,7
2020-08-16,7
2020-08-23,7
2020-08-30,8
2020-09-06,9
2020-09-13,11
2020-09-20,11
2020-09-27,13
2020-10-04,16
2020-10-11,15
2020-10-18,16
2020-10-25,15
2020-11-01,13
2020-11-08,16
2020-11-15,16
2020-11-22,17
2020-11-29,17
2020-12-06,17
2020-12-13,15
2020-12-20,15
2020-12-27,17
2021-01-03,15
2021-01-10,13
2021-01-17,12
2021-01-24,11
2021-01-31,11
2021-02-07,10
2021-02-14,9
2021-02-21,9
2021-02-28,9
2021-03-07,8
2021-03-14,8
2021-03-21,9
2021-03-28,9
2021-04-04,9
2021-04-11,10
2021-04-18,9
2021-04-25,9
2021-05-02,8
2021-05-09,8
2021-05-16,8
2021-05-23,7
2021-05-30,10
2021-06-06,6
2021-06-13,7
2021-06-20,7
2021-06-27,6
2021-07-04,7
2021-07-11,8
2021-07-18,8
2021-07-25,10
2021-08-01,10
2021-08-08,11
2021-08-15,11
2021-08-22,11
2021-08-29,11
2021-09-05,12
2021-09-12,13
2021-09-19,13
2021-09-26,14
2021-10-03,16
2021-10-10,15
2021-10-17,15
2021-10-24,15
2021-10-31,16
2021-11-07,18
2021-11-14,20
2021-11-21,18
2021-11-28,25
2021-12-05,23
2021-12-12,30
2021-12-19,42
2021-12-26,58
2022-01-02,55
2022-01-09,40
2022-01-16,24
2022-01-23,18
2022-01-30,15
2022-02-06,14
2022-02-13,14
2022-02-20,15
2022-02-27,15
2022-03-06,15
2022-03-13,16
2022-03-20,19
2022-03-27,17
2022-04-03,19
2022-04-10,19
2022-04-17,19
2022-04-24,19
2022-05-01,17
2022-05-08,18
2022-05-15,18
2022-05-22,15
2022-05-29,15
2022-06-05,13
2022-06-12,13
2022-06-19,12
2022-06-26,11
2022-07-03,11
2022-07-10,10
2022-07-17,10
2022-07-24,9
2022-07-31,9
2022-08-07,10
2022-08-14,9
2022-08-21,12
2022-08-28,11
2022-09-04,12
2022-09-11,15
2022-09-18,15
2022-09-25,16
2022-10-02,19
2022-10-09,24
2022-10-16,30
2022-10-23,44
2022-10-30,58
2022-11-06,55
2022-11-13,58
2022-11-20,76
2022-11-27,83
2022-12-04,76
2022-12-11,79
2022-12-18,68
2022-12-25,58
2023-01-01,39
2023-01-08,28
2023-01-15,22
2023-01-22,20
2023-01-29,18
2023-02-05,19
2023-02-12,18
2023-02-19,17
2023-02-26,16
2023-03-05,15
2023-03-12,17
2023-03-19,15
2023-03-26,13
2023-04-02,12
2023-04-09,12
2023-04-16,11
2023-04-23,11
2023-04-30,11
2023-05-07,10
2023-05-14,10
2023-05-21,10
2023-05-28,10
2023-06-04,9
2023-06-11,8
2023-06-18,8
2023-06-25,8
2023-07-02,8
2023-07-09,7
2023-07-16,7
2023-07-23,8
2023-07-30,7
2023-08-06,9
2023-08-13,9
2023-08-20,10
2023-08-27,11
2023-09-03,13
2023-09-10,14
2023-09-17,15
2023-09-24,16
2023-10-01,17
2023-10-08,17
2023-10-15,20
2023-10-22,19
2023-10-29,20
2023-11-05,23
2023-11-12,26
2023-11-19,27
2023-11-26,31
2023-12-03,34
2023-12-10,45
2023-12-17,58
2023-12-24,60
2023-12-31,52
2024-01-07,40
2024-01-14,32
2024-01-21,35
2024-01-28,36
2024-02-04,35
2024-02-11,34
2024-02-18,34
2024-02-25,29
2024-03-03,23
2024-03-10,20
2024-03-17,18
2024-03-24,18
2024-03-31,20
2024-04-07,16
2024-04-14,13
2024-04-21,15
2024-04-28,14
2024-05-05,12
2024-05-12,12
2024-05-19,12
2024-05-26,11
2024-06-02,11
2024-06-09,10
2024-06-16,10
2024-06-23,10
2024-06-30,9
2024-07-07,9
2024-07-14,9
2024-07-21,9
2024-07-28,9
2024-08-04,9
2024-08-11,10
2024-08-18,11
2024-08-25,11
2024-09-01,12
2024-09-08,13
2024-09-15,14
2024-09-22,14
2024-09-29,15
2024-10-06,14
2024-10-13,17
2024-10-20,17
2024-10-27,16
2024-11-03,16
2024-11-10,17
2024-11-17,20
2024-11-24,19
2024-12-01,22
2024-12-08,26
2024-12-15,55
2024-12-22,67
2024-12-29,73
2025-01-05,56
2025-01-12,52
2025-01-19,65
2025-01-26,99
2025-02-02,100
2025-02-09,91
2025-02-16,69
2025-02-23,56
2025-03-02,41
2025-03-09,35
2025-03-16,28
2025-03-23,21
2025-03-30,19
2025-04-06,16
2025-04-13,15
2025-04-20,15
2025-04-27,15
2025-05-04,12
2025-05-11,11
